frame,timestamp,track_id,x1,y1,x2,y2,confidence
0,0.000,1,234.3,212.1,269.6,303.3,0.8634
0,0.000,2,735.9,208.4,774.7,296.3,0.8374
0,0.000,3,684.1,197.8,716.0,308.8,0.7758
0,0.000,4,318.0,215.0,339.6,288.7,0.6156
0,0.000,5,343.6,207.6,372.0,299.0,0.5826
0,0.000,6,367.5,207.1,393.2,300.7,0.5770
0,0.000,7,276.8,213.9,296.7,300.5,0.5019
0,0.000,8,588.1,205.2,606.1,257.5,0.4529
0,0.000,9,592.4,204.3,612.4,256.6,0.4227
0,0.000,10,300.9,214.3,321.4,297.5,0.4144
0,0.000,11,283.1,216.8,309.0,299.7,0.3859
0,0.000,12,554.0,206.0,570.2,247.1,0.3760
0,0.000,13,477.7,196.0,498.1,261.6,0.3678
0,0.000,14,475.2,197.6,493.1,260.0,0.2804
1,0.033,1,231.8,209.8,267.7,302.7,0.8528
1,0.033,2,732.4,210.2,770.5,296.5,0.8303
1,0.033,3,682.3,198.6,713.8,308.4,0.7898
1,0.033,4,315.1,211.2,337.9,289.2,0.4768
1,0.033,5,339.1,205.2,368.6,300.2,0.5877
1,0.033,6,364.5,207.9,389.1,297.7,0.5070
1,0.033,7,277.9,215.8,297.2,299.1,0.6527
1,0.033,8,586.0,206.1,603.3,256.7,0.3333
1,0.033,10,297.9,212.6,318.8,297.5,0.4321
1,0.033,12,552.1,206.7,567.5,245.8,0.3023
1,0.033,13,479.1,195.0,499.8,261.7,0.2764
2,0.067,1,228.7,212.7,263.3,302.2,0.8279
2,0.067,2,728.8,209.7,767.2,296.8,0.8426
2,0.067,3,681.1,199.6,712.5,308.6,0.8449
2,0.067,4,312.4,210.1,333.6,282.5,0.3384
2,0.067,5,335.4,204.9,364.5,298.9,0.5081
2,0.067,6,359.9,209.2,384.1,297.7,0.4060
2,0.067,7,274.5,215.2,294.3,299.5,0.6525
2,0.067,8,583.8,206.7,600.5,255.4,0.5051
2,0.067,10,293.8,209.5,315.5,297.5,0.3722
2,0.067,12,549.1,207.0,564.7,246.5,0.3562
3,0.100,1,224.5,214.1,258.9,303.2,0.7902
3,0.100,2,725.3,208.2,765.0,298.4,0.8261
